score,KC_factor,projections,hash_dims,flattening
-0.10905,2.0,10.0,64.0,log2
-0.11019,4.0,6.0,256.0,log
-0.11019,4.0,18.0,192.0,log2
-0.11056,4.0,12.0,192.0,log
-0.11094,1.0,12.0,80.0,log2
-0.11208,10.0,14.0,640.0,log
-0.1151,2.0,10.0,160.0,log
-0.11587,2.0,6.0,160.0,log
-0.11631,1.0,12.0,16.0,log
-0.11926,6.0,18.0,192.0,log10
-0.12079,4.0,10.0,64.0,log2
-0.12158,2.0,16.0,32.0,log10
-0.12162,1.0,20.0,32.0,log
-0.12529,4.0,16.0,320.0,log
-0.12719,6.0,14.0,288.0,log
-0.12799,2.0,14.0,160.0,log2
-0.12869,6.0,18.0,480.0,log
-0.13416,1.0,20.0,64.0,log
-0.13511,8.0,12.0,512.0,log10
-0.13678,2.0,12.0,64.0,log2
-0.14148,1.0,16.0,16.0,log2
-0.14265,8.0,14.0,640.0,log10
-0.14494,10.0,18.0,480.0,log10
-0.14612,4.0,20.0,64.0,log2
-0.1473,6.0,8.0,96.0,log10
-0.14763,10.0,16.0,160.0,log
-0.15071,1.0,12.0,64.0,log10
-0.15332,2.0,6.0,128.0,log2
-0.1539,1.0,14.0,32.0,log10
-0.15495,1.0,18.0,48.0,log
-0.15619,1.0,10.0,64.0,log2
-0.15815,6.0,16.0,480.0,log2
-0.15901,2.0,16.0,96.0,log10
-0.16312,4.0,14.0,192.0,log
-0.16597,1.0,16.0,80.0,log
-0.16681,8.0,10.0,256.0,log
-0.16874,4.0,12.0,192.0,log10
-0.16912,6.0,20.0,192.0,log
-0.17108,6.0,16.0,96.0,log10
-0.17403,1.0,16.0,32.0,log
-0.18096,8.0,18.0,128.0,log2
-0.18983,2.0,18.0,32.0,log2
